time;X;Y;Z;Total
1,263090;-0,0791;0,1826;0,8865;0,909
1,265573;-0,0788;0,1780;0,8888;0,910
1,272809;-0,0779;0,1799;0,8865;0,908
1,273552;-0,0798;0,1826;0,8844;0,907
1,273821;-0,0768;0,1836;0,8876;0,910
1,275505;-0,0719;0,1823;0,8916;0,913
1,278217;-0,0766;0,1831;0,8914;0,913
1,283505;-0,0771;0,1801;0,8900;0,911
1,284397;-0,0751;0,1823;0,8860;0,908
1,285553;-0,0730;0,1855;0,8824;0,905
1,288406;-0,0737;0,1855;0,8846;0,907
1,291899;-0,0722;0,1875;0,8804;0,903
1,293568;-0,0737;0,1880;0,8816;0,904
1,295869;-0,0719;0,1885;0,8739;0,897
1,298457;-0,0717;0,1885;0,8682;0,891
1,301129;-0,0712;0,1882;0,8658;0,889
1,304002;-0,0744;0,1927;0,8634;0,888
1,305977;-0,0759;0,1899;0,8589;0,883
1,308558;-0,0756;0,1918;0,8548;0,879
1,311286;-0,0759;0,1911;0,8524;0,877
1,314212;-0,0771;0,1983;0,8536;0,880
1,316200;-0,0768;0,1965;0,8499;0,876
1,318640;-0,0776;0,1995;0,8475;0,874
1,321327;-0,0751;0,2009;0,8460;0,873
1,323792;-0,0803;0,2027;0,8464;0,874
1,326098;-0,0798;0,2029;0,8480;0,876
1,328663;-0,0751;0,2072;0,8462;0,874
1,331591;-0,0727;0,2090;0,8464;0,875
1,333850;-0,0705;0,2036;0,8501;0,877
1,336655;-0,0703;0,2060;0,8504;0,878
1,338654;-0,0675;0,2076;0,8506;0,878
1,341896;-0,0670;0,2090;0,8574;0,885
1,343906;-0,0630;0,2085;0,8618;0,889
1,347634;-0,0610;0,2048;0,8587;0,885
1,349181;-0,0593;0,2032;0,8616;0,887
1,352493;-0,0605;0,2068;0,8667;0,893
1,353598;-0,0634;0,2070;0,8723;0,899
1,356221;-0,0612;0,2058;0,8780;0,904
1,360118;-0,0649;0,2029;0,8832;0,908
1,361246;-0,0681;0,2029;0,8841;0,910
1,363991;-0,0730;0,2102;0,8916;0,919
1,367175;-0,0788;0,2076;0,8972;0,924
1,370009;-0,0779;0,2060;0,9002;0,927
1,371689;-0,0844;0,2060;0,9042;0,931
1,374056;-0,0903;0,2046;0,9065;0,934
1,377020;-0,0896;0,2044;0,9144;0,941
1,379321;-0,0915;0,2021;0,9186;0,945
1,390883;-0,0977;0,1985;0,9191;0,945
1,392095;-0,0947;0,1939;0,9247;0,950
1,392513;-0,0924;0,1897;0,9249;0,949
1,392873;-0,0945;0,1914;0,9252;0,950
1,393285;-0,0966;0,1880;0,9249;0,949
1,394353;-0,0989;0,1880;0,9242;0,948
1,396927;-0,0986;0,1887;0,9256;0,950
