dateTime,X,Y,Z
2023-02-07 15:44:42.830985,0.16,0.40,-7.11
2023-02-07 15:44:42.844786,-0.20,0.31,-7.39
2023-02-07 15:44:42.852641,-0.62,0.39,-7.51
2023-02-07 15:44:42.861384,-0.92,0.60,-7.35
2023-02-07 15:44:42.872185,-1.13,0.89,-7.18
2023-02-07 15:44:42.883555,-1.25,1.05,-6.90
2023-02-07 15:44:42.890864,-1.35,1.12,-6.57
2023-02-07 15:44:42.901767,-1.43,1.13,-6.40
2023-02-07 15:44:42.913414,-1.50,1.09,-6.27
2023-02-07 15:44:42.921376,-1.58,1.10,-6.07
2023-02-07 15:44:42.931577,-1.62,1.19,-5.95
2023-02-07 15:44:42.947101,-1.62,1.20,-5.77
2023-02-07 15:44:42.951446,-1.63,1.04,-5.71
2023-02-07 15:44:42.962795,-1.47,0.78,-5.71
2023-02-07 15:44:42.969821,-1.31,0.48,-5.64
2023-02-07 15:44:42.980534,-1.19,0.31,-5.46
2023-02-07 15:44:42.994225,-1.11,0.25,-5.37
2023-02-07 15:44:43.000132,-1.06,0.29,-5.24
2023-02-07 15:44:43.011773,-0.96,0.34,-5.17
2023-02-07 15:44:43.021498,-0.94,0.48,-5.12
2023-02-07 15:44:43.039699,-0.93,0.63,-5.01
2023-02-07 15:44:43.048397,-0.92,0.75,-4.99
2023-02-07 15:44:43.051843,-0.72,0.65,-5.34
2023-02-07 15:44:43.071149,-0.51,0.42,-5.83
2023-02-07 15:44:43.072494,-0.43,0.22,-6.34
2023-02-07 15:44:43.089780,-0.45,-0.04,-6.98
2023-02-07 15:44:43.096321,-0.54,-0.11,-7.71
2023-02-07 15:44:43.100320,-0.57,-0.08,-8.47
2023-02-07 15:44:43.111226,-0.57,0.14,-8.86
2023-02-07 15:44:43.122861,-0.61,0.44,-8.71
2023-02-07 15:44:43.130590,-0.57,0.70,-8.24
2023-02-07 15:44:43.151189,-0.46,0.81,-7.63
2023-02-07 15:44:43.152663,-0.34,0.83,-7.20
2023-02-07 15:44:43.165799,-0.24,0.80,-6.89
2023-02-07 15:44:43.172236,-0.24,0.67,-6.87
2023-02-07 15:44:43.181849,-0.25,0.48,-7.13
2023-02-07 15:44:43.191242,-0.29,0.34,-7.49
2023-02-07 15:44:43.200986,-0.31,0.22,-7.80
2023-02-07 15:44:43.213034,-0.38,0.18,-7.97
2023-02-07 15:44:43.220054,-0.52,0.06,-8.03
2023-02-07 15:44:43.231075,-0.48,-0.15,-7.90
2023-02-07 15:44:43.239936,-0.38,-0.34,-7.61
2023-02-07 15:44:43.250722,-0.17,-0.57,-7.19
2023-02-07 15:44:43.269371,-0.13,-0.72,-6.80
2023-02-07 15:44:43.280635,-0.07,-0.88,-6.56
2023-02-07 15:44:43.283094,-0.14,-0.97,-6.57
2023-02-07 15:44:43.291934,-0.28,-1.02,-6.60
2023-02-07 15:44:43.300202,-0.52,-0.97,-6.49
2023-02-07 15:44:43.314658,-0.71,-0.79,-6.34
2023-02-07 15:44:43.320633,-0.89,-0.62,-6.21
2023-02-07 15:44:43.330633,-1.10,-0.46,-6.23
2023-02-07 15:44:43.339886,-1.28,-0.26,-6.17
2023-02-07 15:44:43.350628,-1.36,-0.02,-6.10
2023-02-07 15:44:43.363247,-1.40,0.13,-6.01
2023-02-07 15:44:43.369651,-1.36,0.26,-5.84
2023-02-07 15:44:43.382757,-1.36,0.35,-5.62
2023-02-07 15:44:43.388630,-1.36,0.34,-5.42
2023-02-07 15:44:43.399538,-1.32,0.24,-5.29
2023-02-07 15:44:43.407881,-1.30,-0.00,-5.30
2023-02-07 15:44:43.419374,-1.31,-0.13,-5.32
2023-02-07 15:44:43.430392,-1.36,-0.14,-5.43
2023-02-07 15:44:43.440243,-1.42,-0.12,-5.44
2023-02-07 15:44:43.448541,-1.48,-0.10,-5.51
2023-02-07 15:44:43.459482,-1.54,-0.01,-5.68
2023-02-07 15:44:43.470307,-1.50,0.20,-5.81
2023-02-07 15:44:43.479152,-1.48,0.31,-5.94
2023-02-07 15:44:43.489281,-1.42,0.24,-6.14
2023-02-07 15:44:43.500251,-1.31,0.12,-6.33
2023-02-07 15:44:43.508543,-1.11,-0.15,-6.43
2023-02-07 15:44:43.519239,-0.91,-0.34,-6.48
2023-02-07 15:44:43.530486,-0.88,-0.45,-6.41
2023-02-07 15:44:43.538446,-0.89,-0.28,-6.41
2023-02-07 15:44:43.549815,-0.88,-0.01,-6.33
2023-02-07 15:44:43.560112,-0.87,0.33,-6.20
2023-02-07 15:44:43.568250,-0.79,0.57,-6.20
2023-02-07 15:44:43.579672,-0.67,0.69,-6.37
2023-02-07 15:44:43.590064,-0.53,0.84,-6.66
2023-02-07 15:44:43.598130,-0.42,0.88,-7.13
2023-02-07 15:44:43.609740,-0.40,0.86,-7.53
2023-02-07 15:44:43.617697,-0.35,0.79,-7.97
